category,pearson,data1_ratio,data2_ratio,Data Count,category1,new category,Apearson,Adata1_ratio,Adata2_ratio
38:52D-15,0.17556467453582,0.00100712348293435,0.00102866876096501,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
39:53D-15,0.0274459678382801,7.09896768547825e-05,7.43425686909505e-05,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
40:54D-15,0.00623675983319589,1.20269238372305e-05,1.09828904227413e-05,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
19:34D-16,0.372319572407379,5.70264635780467e-05,6.23036433846652e-05,79964,D-16,22:37D-16,0.670448630062499,0.0018534674276691,0.0018545908538279
20:35D-16,0.486467290977171,0.000181911692941757,0.000186776772876675,79964,D-16,22:37D-16,0.670448630062499,0.0018534674276691,0.0018545908538279
21:36D-16,0.569660871768201,0.000509174701897919,0.000510128123450284,79964,D-16,22:37D-16,0.670448630062499,0.0018534674276691,0.0018545908538279
22:37D-16,0.730600093853438,0.0011053545692514,0.00109538231411627,79964,D-16,22:37D-16,0.670448630062499,0.0018534674276691,0.0018545908538279
23:38D-16,0.696878200093644,0.000636368445891165,0.000576704256719705,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
24:39D-16,0.746785464693718,0.000529598851420508,0.00051483637739487,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
25:40D-16,0.704995844301028,0.000450660293060433,0.00042596285094789,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
26:41D-16,0.692440398948968,0.000758958680635811,0.000724776565371322,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
27:42D-16,0.596997351913068,0.000850973889983568,0.000837195765661144,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
28:43D-16,0.572008773346175,0.000753967751268447,0.000748691496410766,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
29:44D-16,0.598924560577691,0.000822238592629132,0.000826276272620033,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
30:45D-16,0.56780818828498,0.000738117623019362,0.000745097503282547,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
31:46D-16,0.508020288100963,0.000624566273799164,0.000619472533245431,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
32:47D-16,0.531746000439413,0.000492649656366603,0.000481045686679984,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
33:48D-16,0.645793009668652,0.000457950123926518,0.000433738244937176,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
34:49D-16,0.632825784561057,0.000453905598363805,0.000426983779896757,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
35:50D-16,0.638420230931116,0.000531513367647203,0.000502451993664853,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
36:51D-16,0.476791870699385,0.000636935767687505,0.000632326031253342,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
